country;Pubmed ID;authors;Comparative study;participants (Cancer/ Control);material (source);function;Participants (cancer type);stage;number;gender (M / F);age mean (range) (M / F);smoking status;Participants (control);number.1;gender (M / F).1;age mean (range) (M / F).;smoking status.1;chromatography;ion source;positive/ negative mode;mass analyzer;Identification level;data processing software;database search;statistical difference method;classification method;survival analysis method;year;id
Japan;21176209;Maeda et al. 2010;#1;NSCLC vs. healthy;plasma;–;NSCLC;I, II, III, IV;141;93, 48;62.7 ± 9.2;former, current, non-smoker ;healthy;423;279, 144;61.1 ± 8.7;former, current, non-smoker;LC;ESI;positive ;quadrupole;–;Xcalibur ;–; Mann-Whitney U-test, PCA;ROC curve;–;2010;63
US;24736543;Mathe et al. 2014;#1;NSCLC vs. healthy;urine;diagnosis, prognosis;NSCLC;I, II, III, IV;469;237, 232;66,2;smoker, non-smoker;healthy;536;276, 260;66,6;–;LC;ESI;–;Q-TOF;MS/MS;R package XCMS ;METLIN, HMDB ;Non-parametric Wilcoxon test;random forest;Cox proportional hazards regression;2014;64
US;26762741;Mazzone et al. 2016;#1;adenocarcinoma + squamous cell carcinoma vs. at-risk controls ;serum;–;adenocarcinoma, squamous cell carcinoma;I, II, III;94;52, 42;68,7;–;at-risk controls ;190;96, 94;66,2;–;GC;EI;–;quadrupole;MS/MS; Metabolon LIMS system; Metabolon LIMS system;two- sample independent t test ;–;–;2016;65
US;26762741;Mazzone et al. 2016;#2;adenocarcinoma + squamous cell carcinoma vs. at-risk controls ;serum;–;adenocarcinoma, squamous cell carcinoma;I, II, III;94;52, 42;68,7;–;at-risk controls ;190;96, 94;66,2;–;LC;ESI;positive;linear ion-trap;MS/MS; Metabolon LIMS system; Metabolon LIMS system;two- sample independent t test ;–;–;2016;66
US;26762741;Mazzone et al. 2016;#3;adenocarcinoma + squamous cell carcinoma vs. at-risk controls ;serum;–;adenocarcinoma, squamous cell carcinoma;I, II, III;94;52, 42;68,7;–;at-risk controls ;190;96, 94;66,2;–;LC;ESI;negative;linear ion-trap;MS/MS; Metabolon LIMS system; Metabolon LIMS system;two- sample independent t test ;–;–;2016;67
US;25859693;Miyamoto et al. 2015;#1;adenocarcinoma vs. healthy;blood;diagnosis;adenocarcinoma;unknown (mostly late stage);18;10, 8;67 (50-85) / 62 (53-72);former, current;healthy;20;8, 12;64 (49-80) / 66 (58-82);former, current;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;Analysis of Covariance;–;–;2015;68
US;25859693;Miyamoto et al. 2015;#2;NSCLC + SCLC + mesothelioma + secondary metastasis to lung + other vs. healthy;blood;diagnosis;NSCLC, SCLC, mesothelioma, secondary metastasis to lung;I, II, III, IV;11;4, 7;67 (61-73) / 67 (47-76);smoker, non-smoker;healthy;11;5, 6;69 (61-83) / 54 (44-61);unknown;GC;EI;–;TOF;MS/MS;ChromaTOF software (Leco);UC Davis Metabolomics BinBase database;Analysis of Covariance;–;–;2015;69
Spain;30099851;Moreno et al. 2018;#1;adenocarcinoma (tumor tissue) vs. adenocarcinoma (normal tissue);tissue;therapy, diagnosis;adenocarcinoma;I, II, III;33;24, 9;62.11 ± 9.73;–;tumor vs. adjacent normal tissue;33;24, 9;62.11 ± 9.73;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;paired two-sample t-test, PLS-DA;–;–;2018;70
Spain;30099851;Moreno et al. 2018;#2;squamous cell lung carcinoma (tumor tissue) vs. squamous cell lung carcinoma (normal tissue);tissue;therapy, diagnosis;squamous cell carcinoma;I, II, III;35;35, 0;68.71 ± 7.46;–;tumor vs. adjacent normal tissue;35;35, 0;68.71 ± 7.46;–;LC, GC;ESI, EI;both;LC: linear ion-trap, GC: single-quadrupole ;LC: MS/MS ;–;KEGG, HMDB;paired two-sample t-test, PLS-DA;–;–;2018;71
China;30892048;Mu et al. 2019;#1;NSCLC vs. healthy;serum;diagnosis;NSCLC;I, II, III, IV;30;0, 30;60.4 ± 9.7;non-smoker;healthy;30;0, 30;54.7 ± 14.3;non-smoker;GC;–;–;–;–;–;–;PCA, PLS-DA, Mann-Whitney U test;–;–;2019;72
China;31222099;Muranishi et al. 2019;#1;adenocarcinoma (tumor vs. adjacent normal tissue);tissue;diagnosis;adenocarcinoma;I;25;–;46-82;–;tumor vs. adjacent normal tissue;25;–;46-82;–;LC;ESI;positive;Q-TOF;MS/MS;Progenesis QI;LIPID MAPS, HMDB;Student's t test;–;–;2019;73
US;15494133;Murphey et al. 2004;#1;NSCLC vs. healthy;urine;therapy;NSCLC;–;19;10, 9;–;–;healthy;37;20, 17;–;–;LC;ESI;negative;triple quadrupole;MS/MS;–;–;Student’s t test, Wilcoxon signed ranks test, ANOVA;–;–;2004;74
Pakistan;25712604;Musharraf et al. 2015;#1;adenocarcinoma + squamous cell cancer + small cell carcinoma + NSCLC vs. healthy + COPD;plasma;–;adenocarcinoma, squamous cell carcinoma, SCLC, NSCLC, lung cancer;I, II, III;96;–;–;–;healthy;384;–;–;–;GC;EI;–;triple quadrupole;–;Agilent Mass Hunter Qualitative Analysis,  Mass Hunter;Wiley registry NIST 11,  Fiehn RTL libraries;one way ANOVA, Turkey’s honest Significance Difference;Hierarchical clustering, Partial Least Square Discrimination;–;2015;75
China;27129889;Ni et al. 2016;#1;lung cancer vs. healthy;serum;diagnosis;lung cancer;–;40;14, 26;67;–;healthy;100;–;–;–;LC;ESI;positive;triple quadrupole;MS/MS;–;–;one-way ANOVA;–;–;2016;76
China;31258653;Ni et al. 2019;#1;lung cancer vs. healthy;serum;diagnosis;lung cancer;–;40;26, 14;66.7 (49-83);–;healthy;100;65, 35;64.1 (41-90);–;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;Mann-Whitney U test, Student's t-test, Welch's F test ;ROC analysis;–;2019;77
China;31258653;Ni et al. 2019;#2;NSCLC + SCLC vs. healthy;serum;diagnosis;NSCLC, SCLC;II, III, IV;17;13, 4;66.3 (53-77);former, current, non-smoker;healthy;30;23, 7;62.8 (34-85);former, current, non-smoker;LC;ESI;positive;triple quadrupole;MS/MS;–;HMDB, KEGG, SMPDB;Mann-Whitney U test, Student's t-test, Welch's F test ;ROC analysis;–;2019;78
UK;27423423;O'Shea et al. 2016;#1;SCLC + NSCLC + radiological  vs. healthy;sputum;diagnosis;SCLC, NSCLC, radiological;–;23;11, 12;66.6 ± 8.1;former, current, non-smoker ;healthy;33;20, 13;55.3 ± 14.6;former, current;flow infusion;ESI;–;–;–;–;–;PCA, 50–50 MANOVA test, ;ROC curve;–;2016;79
US;29290988;Peng et al. 2017;#1;NSCLC vs. healthy;tissue;diagnosis;NSCLC;–;18;0, 18;–;smoker, non-smoker;healthy;17;0, 17;–;smoker, non-smoker;LC;–;–;triple quadrupole;MS/MS; Xcalibur;–;–;–;–;2017;80
US;29290988;Peng et al. 2017;#2;NSCLC vs. healthy;tissue;diagnosis;NSCLC;–;17;17, 0;–;smoker, non-smoker;healthy;15;15, 0;–;smoker, non-smoker;LC;–;–;triple quadrupole;MS/MS; Xcalibur;–;–;–;–;2017;81
Spain;26866403;Peralbo-Molina et al. 2016;#1;squamous cell carcinoma + adenocarcinoma + small cell carcinoma + large cell carcinoma + non-small cell lung cancer vs. healthy;exhaled breath;diagnosis;squamous cell carcinoma, adenocarcinoma, large cell carcinoma, NSCLC, SCLC;–;48;45, 3;63 ± 7 ;–;healthy;61;53, 8;60  ±  9;non-smoker;GC;EI;–;Q-TOF;–; Mass Profiler Professional (Angilent), Quantitative Analysis (Angilent);NIST 11, KEGG ;unpaired t-test, Fisher's exact, Mann–Whitney tests;Support-vector machine, ROC curve analysis ;–;2016;82
Spain;26866403;Peralbo-Molina et al. 2016;#2;squamous cell carcinoma + adenocarcinoma + small cell carcinoma + large cell carcinoma + non-small cell lung cancer vs. risk factor;exhaled breath;diagnosis;squamous cell carcinoma, adenocarcinoma, large cell carcinoma, NSCLC, SCLC;–;48;45, 3;63 ± 7 ;–;at-risk controls;130;107, 23;61±8;former, active smokers;GC;EI;–;Q-TOF;–; Mass Profiler Professional (Angilent), Quantitative Analysis (Angilent);NIST 11, KEGG ;unpaired t-test, Fisher's exact, Mann–Whitney tests;Support-vector machine, ROC curve analysis ;–;2016;83
Poland;28803255;Ro?-Mazurczyk et al. 2017;#1;adenocarcinoma +  squamous cell carcinoma vs. healthy;serum;diagnosis;adenocarcinoma, squamous cell carcinoma;I, II, III;31;17, 14;52-72;–;healthy;92;52, 40;52–73 ;–;GC;–;–;TOF;In-source fragmentation;Leco ChromaTOF-GC; Replib, Mainlib and Fiehn libraries;two-sample T test, U Mann-Whitney test, Benjamini-Hochberg approach;ROC curve;–;2017;84
US;30104001;Sappington et al. 2018;#1;adenocarcinoma + squamous cell carcinoma vs. non-malignant;lymph node aspirates;diagnosis;adenocarcinoma, squamous cell carcinoma;II, III, IV;50;31, 19;–;–;non-malignant;29;15, 14;–;–;LC;ESI;positive;Q-TOF;MS/MS;MassHunter, MassProfilerProfessional;HMDB;OPLS-DA, PLS-DA;–;–;2018;85
US;30104001;Sappington et al. 2018;#2;adenocarcinoma vs. squamous cell carcinoma;lymph node aspirates;diagnosis;adenocarcinoma;II, III, IV;31;17, 14;–;–;squamous cell carcinoma;19;14, 5;–;–;LC;ESI;positive;Q-TOF;MS/MS;MassHunter, MassProfilerProfessional;HMDB;OPLS-DA, PLS-DA;–;–;2018;86
China;30805978;Sun et al. 2019;#1;lung cancer vs. healthy;serum;diagnosis;lung cancer;I, II, III, IV;31;21, 10;54.1 ±  9.9 ;smoker, non-smoker;healthy;29;15, 14;52.1 ± 14.6;smoker, non-smoker;GC;–;–;–;–;–;BinBase, KEGG;Student t test, PLS-DA;ROC curve analysis ;–;2019;87
China;25482491;Wang et al. 2014;#1;adenocarcinoma + squamous cell carcinoma + adenosquamous carcinoma (preoperative contralateral) vs. adenocarcinoma + squamous cell carcinoma + adenosquamous carcinoma (preoperative ipsilateral);exhaled breath;diagnosis;adenocarcinoma, squamous cell carcinoma, adenosquamous carcinoma;I, II, IV;18;13, 5;58.67 ± 6.34;smoker;preoperative contralateral vs. preoperative ipsilateral;18;13, 5;58.67 ± 6.34;smoker;GC;EI;–;–;–;XCMS;–;PCA, PLS-DA, OPLS-DA, Kruskal-Wallis rank sum test;–;–;2014;88
China;25482491;Wang et al. 2014;#2;adenocarcinoma + squamous cell carcinoma + adenosquamous carcinoma (postoperative contralateral) vs. adenocarcinoma + squamous cell carcinoma + adenosquamous carcinoma (postoperative ipsilateral);exhaled breath;diagnosis;adenocarcinoma, squamous cell carcinoma, adenosquamous carcinoma;I, II, IV;18;13, 5;58.67 ± 6.34;smoker;postoperative contralateral vs. postoperative ipsilateral;18;13, 5;58.67 ± 6.34;smoker;GC;EI;–;–;–;XCMS;–;PCA, PLS-DA, OPLS-DA, Kruskal-Wallis rank sum test;–;–;2014;89
China;25482491;Wang et al. 2014;#3;adenocarcinoma + squamous cell carcinoma + adenosquamous carcinoma (ipsilateral lung preoperative) vs. adenocarcinoma + squamous cell carcinoma + adenosquamous carcinoma (postoperative);exhaled breath;diagnosis;adenocarcinoma, squamous cell carcinoma, adenosquamous carcinoma;I, II, IV;18;13, 5;58.67 ± 6.34;smoker;before vs. after treatment (operation);18;13, 5;58.67 ± 6.34;smoker;GC;EI;–;–;–;XCMS;–;PCA, PLS-DA, OPLS-DA, Kruskal-Wallis rank sum test;–;–;2014;90
China;25482491;Wang et al. 2014;#4;adenocarcinoma + squamous cell carcinoma + adenosquamous carcinoma (preoperative) vs. adenocarcinoma + squamous cell carcinoma + adenosquamous carcinoma (postoperative);blood;diagnosis;adenocarcinoma, squamous cell carcinoma, adenosquamous carcinoma;I, II, IV;18;13, 5;58.67 ± 6.34;smoker;before vs. after treatment (operation);18;13, 5;58.67 ± 6.34;smoker;GC;EI;–;–;–;XCMS;–;PCA, PLS-DA, OPLS-DA, Kruskal-Wallis rank sum test;–;–;2014;91
China;23857124;Wen et al. 2013;#1;adenocarcinoma vs. healthy;plasma;diagnosis;adenocarcinoma;I;31;15, 16;median: 63 (40-81);smoker, non-smoker;healthy;28;20, 8;median: 37 (29-50);smoker, non-smoker;GC;EI;–;–;–;MassHunter, Mass Profiler Professional software (Agilent) ;NIST 08, HMDB, METLIN, LIPID MAPS;Mann–Whitney–Wilcoxon test, OPLS-DA;ROC curve analysis;–;2013;92
China;23857124;Wen et al. 2013;#2;adenocarcinoma vs. healthy;plasma;diagnosis;adenocarcinoma;I;31;15, 16;median: 63 (40-81);smoker, non-smoker;healthy;28;20, 8;median: 37 (29-50);smoker, non-smoker;LC;ESI;–;Q-TOF;MS/MS;MassHunter, Mass Profiler Professional software (Agilent) ;NIST 08, HMDB, METLIN, LIPID MAPS;Mann–Whitney–Wilcoxon test, OPLS-DA;ROC curve analysis;–;2013;93
US;26282655;Wikoff et al. 2015a;#1;NSCLC vs. healthy;serum;prediagnosis;NSCLC;I, II, III, IV;100;75, 25;61.1 ± 5.8;former, current;healthy ;199;149, 50;60.9 ± 5.9;former, current;LC;ESI;both;Q-TOF;MS/MS;XCMS;METLIN, LIPID MAPS, HMDB, Pubchem, SciFinder Scholar;Mann-Whitney U test, Kruskal-Wallis test;ROC curve;–;2015;94
US;26282655;Wikoff et al. 2015a;#2;NSCLC vs. healthy;serum;prediagnosis;NSCLC;I, II, III, IV;108;75, 33;61.9 ± 5.7;former, current;healthy ;216;150, 66;61.9 ± 5.9;former, current;LC;ESI;both;Q-TOF;MS/MS;XCMS;METLIN, LIPID MAPS, HMDB, Pubchem, SciFinder Scholar;Mann-Whitney U test, Kruskal-Wallis test;ROC curve;–;2015;95
US;25657018;Wikoff et al. 2015b;#1;adenocarcinoma (tumor tissue) vs. adenocarcinoma (normal tissue);tissue;diagnosis;adenocarcinoma;I;39;15, 24;72.33 ± 8.78;smoker, non-smoker;tumor vs. adjacent normal tissue;39;15, 24;72.33 ± 8.78;smoker, non-smoker;GC;EI;–;TOF;–;BinBase;NIST11, BinBase;OPLS-DA;–;–;2015;96
China;24771673;Wu et al. 2014;#1;NSCLC vs. healthy;urine;diagnosis;NSCLC ;–;20;10, 10;38-74;–;healthy;20;10, 10;35-66;–;LC;ESI;positive;Q-TOF;MS/MS;MassLynx;HMDB, METLIN, lipidmaps;OPLS-DA, student’s t-test;ROC curve analysis ;–;2014;97
China;24771673;Wu et al. 2014;#2;NSCLC vs. healthy;urine;diagnosis;NSCLC ;–;20;10, 10;38-74;–;healthy;20;10, 10;35-66;–;LC;ESI;negative;Q-TOF;MS/MS;MassLynx;HMDB, metlin, lipidmaps;OPLS-DA, student’s t-test;ROC curve analysis ;–;2014;98
China;29896992;Xiang et al. 2018;#1;adenocarcinoma vs. healthy;plasma;diagnosis;adenocarcinoma;I, II, III, IV;28;16, 12;59 (44-80);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;independent sample t-tests, OPLS-DA;–;–;2018;99
China;29896992;Xiang et al. 2018;#2;adenocarcinoma vs. healthy;plasma;diagnosis;adenocarcinoma;I, II, III, IV;24;10, 14;59 (43-71);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;independent sample t-tests, OPLS-DA;–;–;2018;100
China;29896992;Xiang et al. 2018;#3;squamous cell carcinoma vs. healthy;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;25;21, 4;59.8 (43-83);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;independent sample t-tests, OPLS-DA;–;–;2018;101
China;29896992;Xiang et al. 2018;#4;squamous cell carcinoma vs. healthy;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;22;16, 6;60.5 (42-73);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;independent sample t-tests, OPLS-DA;–;–;2018;102
China;20309903;Yang et al. 2010;#1;adenocarcinoma + squamous cell cancer vs. healthy;urine;diagnosis;adenocarcinoma, squamous cell carcinoma;–;35;23, 12;61.8 ± 13.3, 57.4 ± 9.8 ;–;healthy;32;27, 5;57.1 ± 9.9, 45.6 ± 10.8 ;–;LC;ESI;positive ;QTRAP ;MS/MS;MarkerView ;HMDB, KEGG, Pubchem, mass bank ;OSC PLS-DA;–;–;2010;103
China;31884394;Yang et al. 2020;#1;adenocarcinoma vs. pulmonary tuberculosis + other pulmonary diseases;pleural effusion;diagnosis;adenocarcinoma;–;46;15, 31;63 ± 12;–;pulmonary tuberculosis, other pulmonary diseases;32;26, 6;49 ± 19;–;LC;ESI;both;Q-Orbitrap;MS/MS;XCMS;HMDB, METLIN, LipidSearch ;PLS-DA;ROC analysis;–;2020;104
China;30473010;Yue et al. 2018;#1;SCLC vs. healthy;plasma;diagnosis;SCLC;–;20;–;–;–;healthy;20;–;–;–;LC;ESI;both;QTRAP;MS/MS;Analyst, MultiQuant;–;OPLS-DA, student’s t-test;–;–;2018;105
Canada;34208545;Ahmed et al. 2021;#1;NSCLC pre-surgery vs. NSCLC post-surgery;Urine;diagnosis;NSCLC pre-surgery ;I, II;29;11, 18;63.8 ± 7.0;former, current, non-smoker;NSCLC post-surgery;29;11,18;63.8 ± 7.0;former, current, non-smoker;LC;ESI;both;Q-TOF;–;MassHunter, Mass Profiler Professional;HMDB, METLIN;Pair t-test, ;–;–;2021;106
Canada;34208545;Ahmed et al. 2021;#2;NSCLC pre-surgery vs. NSCLC post-surgery;Serum;diagnosis;NSCLC pre-surgery ;I, II;32;12, 20;63.8 ± 7.0;former, current, non-smoker;NSCLC post-surgery;32;12,2;63.8 ± 7.0;former, current, non-smoker;LC;ESI;both;Q-TOF;–;MassHunter, Mass Profiler Professional;HMDB, METLIN;Pair t-test, ;–;–;2021;107
China;34083687;Qi et al. 2021;#1;adenocarcinoma + squamous cell carcinoma +  small cell lung cancer + other types + unknown types vs. healthy control;blood;diagnosis;adenocarcinoma, squamous cell carcinoma, small cell lung cancer, other types, unknown types;I, II, III, IV;98;51, 47;Median: 50 (32-69);–;healthy;75;36, 39;Median: 50 (31-69);–;LC;ESI;both;Q-Orbitrap;MS/MS;ProteoWizard, XCMS, Xcalibur, CAMERA, Compound Discoverer;x;PCA, OPLS-DA, Student’s t test ;ROC analysis;–;2021;108
China;34136379;Wan et al. 2021;#1;squamous cell carcinomas + adenocarcinomas vs. healthy control;Serum;diagnosis;squamous cell carcinoma, adenocarcinomas;I, II;48;21, 27;59.1 (38-75);smoker, non-smoker;healthy;30;–;–;–;LC;ESI;both;Q-TOF;–;Progenesis QI 2.3 ;HMDB, Metlin;PCA, OPLS-DA, Student’s t test ;ROC analysis;–;2021;109
China;34056907;Zheng et al. 2021 ;#1;lung cancer vs. healthy control;Serum;diagnosis;lung cancer;I, II, III, IV;57;38, 19;Median: 62 (52-69);smoker, non-smoker;healthy;59;48, 11;Median: 60 (59-62);smoker, non-smoker;GC;EI;–;quadrupole;–;MassHunter Workstation software, Mass Profiler Professional software ;NIST14, HMDB, Golm Metabolome Database;Student’s t-test, Mann–Whitney U test, PCA, PLS-DA, and OPLS-DA;ROC analysis;–;2021;110
China;32693607;You et al. 2020 ;#1;AC vs. SCC;tissue;diagnosis;AC;I, II, III;45;–;–;–;SCC;18;–;–;–;LC;ESI;both;Q-TOF;MS/MS;MarkerView workstation, MultiQuant 3.0.3;OSI-SMMS;PCA, PLS-DA, non-parametric test ;ROC analysis;–;2020;111
China;32693607;You et al. 2020 ;#2;lung carcinoma tissue vs. benign lung tissue;tissue;diagnosis;NSCLC;I, II, III;85;51, 34;59 ± 12;–;benign lung tissues ;85;51, 34;59 ± 12;–;LC;ESI;both;Q-TOF;MS/MS;MarkerView workstation, MultiQuant 3.0.3;OSI-SMMS;PCA, PLS-DA, non-parametric test ;ROC analysis;–;2020;112
China;32145537;Noreldeen et al. 2020 ;#1;non-small cell lung cancer vs. healthy control;Serum;diagnosis;non-small cell lung cancer;I, II, III, IV;39;0, 39;61.64 ± 11.60;–;healthy control ;46;0, 46;55.26 ± 16.24;–;LC;ESI;both;Q-TOF;MS/MS;Peakview workstation, Multiquant software;in-house database;PLS-DA, Mann-Whitney test ;ROC analysis;–;2020;113
China;34527604;Zhao et al. 2021 ;#1;LCC + ADC + SCC + SCLC vs. healthy control ;Serum;diagnosis;LCC, ADC, SCC, SCLC;I, II, III, IV;39;21, 23;–;–;healthy control ;40;18, 27;–;–;LC;ESI;both;Q-TOF;MS/MS;XCMS, CAMERA, metaX;KEGG, HMDB;Student’s t-test, PLS-DA, ;ROC analysis;–;2021;114
Poland;34282765;Kowalczyk et al. 2021 ;#1;adenocarcinoma (ADC) vs. healthy control ;Tissue;diagnosis;adenocarcinoma (ADC);I, II, III;33;23, 10;64.77 ± 8.44;–;healthy control ;20;13, 7;61.5 ± 12.06;–;LC;ESI;both;Q-TOF;–;Mass Hunter Qualitative Analysis Software, Mass Profiler Professional ;METLIN, KEGG, LIPIDMAPS, and HMDB;Mann–Whitney U-test and Benjamini–Hochberg false discovery rate, partial least squares discriminant analysis (PLS-DA) ;–;–;2021;115
Poland;34282765;Kowalczyk et al. 2021 ;#2;squemous cell carcinoma (SCC) vs. healthy control ;Tissue;diagnosis;squemous cell carcinoma (SCC);I, II, III;54;39, 15;64.45 ± 8.02;–;healthy control ;20;13, 7;61.5 ± 12.06;–;LC;ESI;both;Q-TOF;–;Mass Hunter Qualitative Analysis Software, Mass Profiler Professional ;METLIN, KEGG, LIPIDMAPS, and HMDB;Mann–Whitney U-test and Benjamini–Hochberg false discovery rate, partial least squares discriminant analysis (PLS-DA) ;–;–;2021;116
Poland;34282765;Kowalczyk et al. 2021 ;#3;squemous cell carcinoma (SCC) vs. adenocarcinoma (ADC);Tissue;diagnosis;squemous cell carcinoma (SCC);I, II, III;54;39, 15;64.45 ± 8.02;–;adenocarcinoma (ADC);33;23, 10;64.77 ± 8.44;–;LC;ESI;both;Q-TOF;–;Mass Hunter Qualitative Analysis Software, Mass Profiler Professional ;METLIN, KEGG, LIPIDMAPS, and HMDB;Mann–Whitney U-test and Benjamini–Hochberg false discovery rate, partial least squares discriminant analysis (PLS-DA) ;–;–;2021;117
Poland;34282765;Kowalczyk et al. 2021 ;#4;adenocarcinoma (ADC) vs. healthy control ;Plasma;diagnosis;adenocarcinoma (ADC);I, II, III;32;20, 12;64.16 ± 6.91;–;healthy control ;20;13, 7;61.5 ± 12.06;–;LC;ESI;both;Q-TOF;–;Mass Hunter Qualitative Analysis Software, Mass Profiler Professional ;METLIN, KEGG, LIPIDMAPS, and HMDB;Mann–Whitney U-test and Benjamini–Hochberg false discovery rate, partial least squares discriminant analysis (PLS-DA) ;–;–;2021;118
Poland;34282765;Kowalczyk et al. 2021 ;#5;squemous cell carcinoma (SCC) vs. healthy control ;Plasma;diagnosis;squemous cell carcinoma (SCC);I, II, III;33;21, 12;64.45 ± 8.77;–;healthy control ;20;13, 7;61.5 ± 12.06;–;LC;ESI;both;Q-TOF;–;Mass Hunter Qualitative Analysis Software, Mass Profiler Professional ;METLIN, KEGG, LIPIDMAPS, and HMDB;Mann–Whitney U-test and Benjamini–Hochberg false discovery rate, partial least squares discriminant analysis (PLS-DA) ;–;–;2021;119
Poland;34282765;Kowalczyk et al. 2021 ;#6;squemous cell carcinoma (SCC) vs. adenocarcinoma (ADC);Plasma;diagnosis;squemous cell carcinoma (SCC);I, II, III;33;21, 12;64.45 ± 8.77;–;adenocarcinoma (ADC);32;20, 12;64.16 ± 6.91;–;LC;ESI;both;Q-TOF;–;Mass Hunter Qualitative Analysis Software, Mass Profiler Professional ;METLIN, KEGG, LIPIDMAPS, and HMDB;Mann–Whitney U-test and Benjamini–Hochberg false discovery rate, partial least squares discriminant analysis (PLS-DA) ;–;–;2021;120
Taiwan;34193905;Chen et al. 2021 ;#1;squamous cell carcinoma + adenocarcinoma + small cell lung cancer vs. non-malignant control ;Pleural effusion;diagnosis;squamous cell carcinoma, adenocarcinoma, small cell lung cancer;–;38;24, 14;65.7 ± 12.4;current, former, never smoker, enviromental tobacco ;non-malignant control ;30;17, 13;77.5 ± 13.1;current, former, never smoker, enviromental tobacco ;GC;EI;–;quadrupole;–;Mzmine;KEGG;Student’s t-test, PCA, PLS-DA;ROC analysis;–;2021;121
China;34342461;Jiang et al. 2021 ;#1;lung cancer vs. healthy control;Saliva;diagnosis;lung cancer;I ;45;16, 29;Median: 57.8 ;smoker, non-smoker;healthy;25;10, 15;Median: 52.9;smoker, non-smoker;–;MALDI;negative;TOF/TOF;MS/MS;FlexAnalysis, ClinproTools software, R script ;HMDB;Student’s t-test, PCA, Cluster analysis by Matlab. OPLS-DA;ROC analysis;–;2021;122
